Ward,Total,Under_$20000,$20000_to_$39999,$40000_to_$59999,$60000_to_$79999,$80000_to_$99999,$100000_to_$124999,$125000_to_$149999,$150000_to_$199999,$200000_and_over
WARD 14,28705,855,1980,2510,2885,3185,3710,3115,4225,6235
WARD 13,32105,1220,2320,3305,3410,3845,4385,3510,4680,5415
WARD 12,29755,765,1485,2415,3035,3600,4725,3840,5160,4730
WARD 11,44040,2335,4850,5665,5395,5040,5025,3710,5070,6950
WARD 10,30885,1685,4030,5030,4825,4100,4140,2715,2660,1695
WARD 9,35925,2855,6010,5965,5360,4580,3960,2775,2530,1910
WARD 8,46810,4245,6095,5835,5890,4820,4475,3195,4110,8140
WARD 7,35600,3795,5400,4555,4300,3255,3210,2200,3005,5875
WARD 6,36640,1815,3215,3385,3480,3220,3750,2860,4615,10315
WARD 5,22560,800,2080,3015,3795,3795,3410,2405,2195,1065
WARD 4,36170,2220,4835,4855,4780,4180,3945,3070,3420,4875
WARD 3,26605,955,1880,2640,3090,3200,3885,3030,4175,3740
WARD 2,27360,865,1905,2335,2820,2840,3800,3245,4435,5115
WARD 1,33570,1605,3025,3395,3520,3395,3675,3110,4435,7405