Ward,Total_Employed,Mode,Number,Percent
1,27200,Driver,21720,80
1,27200,Passenger,1330,5
1,27200,Public transit,1905,7
1,27200,Walked,920,3
1,27200,Bicycle,305,1
1,27200,Other methods,1020,4
2,31915,Driver,26405,83
2,31915,Passenger,1790,6
2,31915,Public transit,1895,6
2,31915,Walked,715,2
2,31915,Bicycle,65,0
2,31915,Other methods,1045,3
3,31055,Driver,25760,83
3,31055,Passenger,2115,7
3,31055,Public transit,1910,6
3,31055,Walked,430,1
3,31055,Bicycle,75,0
3,31055,Other methods,765,2
4,28465,Driver,21405,75
4,28465,Passenger,1780,6
4,28465,Public transit,3065,11
4,28465,Walked,1045,4
4,28465,Bicycle,390,1
4,28465,Other methods,780,3
5,43405,Driver,34015,78
5,43405,Passenger,3290,8
5,43405,Public transit,4840,11
5,43405,Walked,335,1
5,43405,Bicycle,45,0
5,43405,Other methods,875,2
6,28720,Driver,22760,79
6,28720,Passenger,1395,5
6,28720,Public transit,2270,8
6,28720,Walked,900,3
6,28720,Bicycle,345,1
6,28720,Other methods,1060,4
7,25680,Driver,15160,59
7,25680,Passenger,1150,4
7,25680,Public transit,3915,15
7,25680,Walked,4000,16
7,25680,Bicycle,685,3
7,25680,Other methods,770,3
8,34795,Driver,22405,64
8,34795,Passenger,1555,4
8,34795,Public transit,3895,11
8,34795,Walked,4895,14
8,34795,Bicycle,885,3
8,34795,Other methods,1165,3
9,32235,Driver,23870,74
9,32235,Passenger,2315,7
9,32235,Public transit,3540,11
9,32235,Walked,1235,4
9,32235,Bicycle,510,2
9,32235,Other methods,765,2
10,33280,Driver,25445,76
10,33280,Passenger,2840,9
10,33280,Public transit,3490,10
10,33280,Walked,645,2
10,33280,Bicycle,75,0
10,33280,Other methods,780,2
11,36085,Driver,28145,78
11,36085,Passenger,2080,6
11,36085,Public transit,2915,8
11,36085,Walked,1680,5
11,36085,Bicycle,230,1
11,36085,Other methods,1045,3
12,38330,Driver,32505,85
12,38330,Passenger,1910,5
12,38330,Public transit,1615,4
12,38330,Walked,1020,3
12,38330,Bicycle,150,0
12,38330,Other methods,1130,3
13,32625,Driver,25350,78
13,32625,Passenger,2380,7
13,32625,Public transit,3210,10
13,32625,Walked,680,2
13,32625,Bicycle,75,0
13,32625,Other methods,925,3
14,30400,Driver,25845,85
14,30400,Passenger,1390,5
14,30400,Public transit,1435,5
14,30400,Walked,705,2
14,30400,Bicycle,125,0
14,30400,Other methods,905,3